"1089 THIRD AVENUE CLEANERS, INC.",Dry Cleaners - 230,Damaged Goods - D01,Consumer Took Action - CTA,NEW YORK,NY
1114 SIXTH PARKING LLC,Garage & Parking Lot - 098,Damaged Goods - D01,Cash Amount - AMT,NEW YORK,NY
1212 FURNITURE,Furniture Sales - 242,Non-Delivery of Goods - N01,Cash Amount - AMT,BROOKLYN,NY
"123-10 SOUTH CONDUIT ASSOCIATES, LLC",Garage - 049,Damaged Goods - D01,Credit Card Refund and/or Contract Cancelled - CRC,SOUTH OZONE PAR,NY
123 AUTO BODY & TOWING INC,Tow Truck Company - 124,Billing Dispute - B02,Resolved and Consumer Satisfied - SPF,BAYSIDE,NY
14TH STREET DIGITAL CORP.,Electronic Store - 001,Damaged Goods - D01,Referred to Manufacturer - RMF,NEW YORK,NY
150 RFT VARICK CORP.,Restaurant - 818,Exchange Goods/Contract Cancelled - E01,Advised to Sue - ATS,NEW YORK,NY
15TH BEST CLEANER INC.,Dry Cleaners - 230,Other - Z01,Cash Amount - AMT,NEW YORK,NY
161 WIRELESS INC.,Electronic Store - 001,Breach of Contract - B03,Credit Card Refund and/or Contract Cancelled - CRC,BROOKLYN,NY
1657 ELECTRONICS CORP.,Electronic Store - 001,Misrepresentation - M01,Cash Amount - AMT,NEW YORK,NY
1657 ELECTRONICS CORP.,Electronic Store - 001,Advertising/General - A01,Cash Amount - AMT,NEW YORK,NY
1693 BROADWAY GIFTS LLC,Electronic Store - 001,Misrepresentation - M01,Credit Card Refund and/or Contract Cancelled - CRC,NEW YORK,NY
175 HILLSIDE PARKING LLC,Garage - 049,Misrepresentation - M01,No Satisfactory Agreement - NSA,JAMAICA,NY
1800FIX.COM INC.,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Received - GDR,BRONX,NY
1800MATTRESS.COM,Furniture Sales - 242,Damaged Goods - D01,Consumer Took Action - CTA,HICKSVILLE,NY
1849 BAR AND RESTAURANT,Restaurant - 818,Surcharge/Overcharge - S02,Unable to Locate Business - ULV,NEW YORK,NY
18 CONSUMER ELECTRONICS & PHOTO CORP.,Electronic Store - 001,Misrepresentation - M01,Goods Exchanged - GEX,NEW YORK,NY
18 CONSUMER ELECTRONICS & PHOTO CORP.,Electronic Store - 001,Advertising/Misleading - A02,Cash Amount - AMT,NEW YORK,NY
1995 FIRST AVE. STATION INC.,Secondhand Dealer Auto - 005,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,NEW YORK,NY
1SALEADAY LLC,Other,Non-Delivery of Goods - N01,No Business Response - NVR,BROOKLYN,NY
"1ST NATIONAL CAREER CENTER, INC.",Employment Agency - 034,Breach of Contract - B03,Unable to Locate Business - ULV,NEW YORK,NY
"2000 PARKING GARAGE, INC.",Garage - 049,Damaged Goods - D01,Resolved and Consumer Satisfied - SPF,BRONX,NY
206 E. 59TH ST. GARAGE CORP.,Garage - 049,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,NEW YORK,NY
215 EAST 24TH GARAGE CORP.,Garage - 049,Damaged Goods - D01,Cash Amount - AMT,NEW YORK,NY
244 REHEARSAL STUDIOS NY,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,Cash Amount - AMT,NEW YORK,NY
"24/7 PAWN SHOP, INC.",Pawnbroker - 080,"Exchange Goods/Contract Cancelled - E01, Misrepresentation - M01",Goods Received - GDR,REGO PARK,NY
"280 BROADWAY CAR PARK, LLC",Garage - 049,Surcharge/Overcharge - S02,Cash Amount - AMT,NEW YORK,NY
2833 THIRD AVE INC.,Electronic Store - 001,Advertising/Misleading - A02,Cash Amount - AMT,BRONX,NY
28 EAST WIRELESS INC,Electronic Store - 001,Non-Delivery of Goods - N01,Cash Amount - AMT,NEW YORK,NY
297 LAUNDROMAT REN INC,Laundry - 064,Damaged Goods - D01,Cash Amount - AMT,RIDGEWOOD,NY
29 PARK LLC,Parking Lot - 050,Refund Policy - R01,Cash Amount - AMT,NEW YORK,NY
304060 PARKING LLC,Garage - 049,Surcharge/Overcharge - S02,Cash Amount - AMT,NEW YORK,NY
323 WEST 34TH STREET LLC,Garage & Parking Lot - 098,Damaged Goods - D01,Cash Amount - AMT,NEW YORK,NY
"325 FIFTH CAR PARK, LLC",Garage - 049,Damaged Goods - D01,Cash Amount - AMT,NEW YORK,NY
327 EAST 149 ST INC.,Electronic Store - 001,Breach of Contract - B03,Goods Exchanged - GEX,BRONX,NY
337 PARKING LLC,Garage - 049,Damaged Goods - D01,Cash Amount - AMT,NEW YORK,NY
34TH ST CAMERA & COMPUTERS INC,Electronic Store - 001,Billing Dispute - B02,Cash Amount - AMT,NEW YORK,NY
34TH ST. CAMERA & COMPUTERS INC.,Electronic Store - 001,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,NEW YORK,NY
34TH ST. CAMERA & COMPUTERS INC.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Credit Card Refund and/or Contract Cancelled - CRC,NEW YORK,NY
34TH ST. CAMERA & COMPUTERS INC.,Electronic Store - 001,Surcharge/Overcharge - S02,No Satisfactory Agreement - NSA,NEW YORK,NY
34TH ST. CAMERA & COMPUTERS INC.,Electronic Store - 001,Surcharge/Overcharge - S02,Goods Received - GDR,NEW YORK,NY
34TH ST. CAMERA & COMPUTERS INC.,Electronic Store - 001,Surcharge/Overcharge - S02,No Satisfactory Agreement - NSA,NEW YORK,NY
34TH ST. CAMERA & COMPUTERS INC.,Electronic Store - 001,Surcharge/Overcharge - S02,Consumer Took Action - CTA,NEW YORK,NY
